"I forgot my wallet at home, so my friend had to f___ t___ b___ for our dinner (to pay for something)","I forgot my wallet at home, so my friend had to foot the bill for our dinner"
"The backpack was so heavy that it felt like a h___ b___ to carry around (something that is difficult to bear or endure)","The backpack was so heavy that it felt like a heavy burden to carry around"
"She always manages to r___ i___ t___ when it comes to money (encounter a problem or difficulty)","She always manages to run into trouble when it comes to money"
"I found his joke to be d___ o___ (causing serious feelings of displeasure or outrage)","I found his joke to be deeply offensive"
"The kitchen was s___ c___ (extremely clean)","The kitchen was spotlessly clean"
"The weather forecast was w___ i___ (completely inaccurate)","The weather forecast was wildly inaccurate"
"He decided to m___ a c___ to the charity (to provide something for a particular purpose)","He decided to make a contribution to the charity"
"She had a bad habit of m___ a h___ of biting her nails (doing something repeatedly)","She had a bad habit of making a habit of biting her nails"
"The company was finally able to t___ a p___ this quarter (to make a profit)","The company was finally able to turn a profit this quarter"
"G___ s___, we need to finish this project by the end of the week (speaking in a general way)","Generally speaking, we need to finish this project by the end of the week"
"I need to t___ b___ with the client later this afternoon (discuss business matters)","I need to talk business with the client later this afternoon"
"He struggled to g___ a m___ a___ to his colleagues (to convey a message)","He struggled to get a message across to his colleagues"
"He decided to t___ u___ o___ (occupy an official position) in the company","He decided to take up office in the company"
"We went for a jog to w___ u___ an a___ (develop hunger) before breakfast","We went for a jog to work up an appetite before breakfast"
"The brave security guard managed to s___ o___ an i___ (repel an intruder) from the building","The brave security guard managed to see off an intruder from the building"
"He decided to m___ a___ l___ as a freelance writer (to earn money for a living)","He decided to make a living as a freelance writer"
"After several interviews, she finally t___ u___ a___ p___ as an editor (to accept a job or position)","After several interviews, she finally took up a post as an editor"
"Through hard work and dedication, he was able to m___ u___ t___ l___ in the company (to advance in one's career or job position)","Through hard work and dedication, he was able to move up the ladder in the company"
"Her qualifications f___ t___ j___ d___ perfectly, so the company was eager to hire her (to match the requirements of a job)","Her qualifications fit the job description perfectly, so the company was eager to hire her"
"After months of searching, he finally l___ a___ n___ j___ as a software engineer (to secure a new job)","After months of searching, he finally landed a new job as a software engineer"
