"We never like to c___ people o___ on strike, but when we do, we have to be determined to s___ i___ t___ to the end [order workers to strike, continue doing a job until it is finished, especially when it is difficult]","We never like to call people out on strike, but when we do, we have to be determined to see it through to the end"
"My job is monotonous. I just s___ a___ day after day [(informal) keep working very hard, usually for a long time]","My job is monotonous. I just slog away day after day"
"I often feel like p___ this job i___ and finding something else [(informal) stopping doing something, especially a job]","I often feel like packing this job in and finding something else"
"I already find that I can f___ o___ tasks I used to do myself. [give work to other people instead of doing it yourself]","I already find that I can farm out tasks I used to do myself."
"In this job you just have to f___ yourself i___ your work and b___ a___ to get things done each day. [start to spend a lot of your time and energy doing something, (informal) work hard at something for a long time, especially something you are writing]","In this job you just have to fling yourself into your work and beaver away to get things done each day."
"I don't think I'm c___ o___ for teaching [have the right qualities for something, especially a job]","I don't think I'm cut out for teaching"
"I do what I can to c___ something t___, but I don't ever feel that I achieve anything worthwhile [make something quickly and not very carefully]","I do what I can to cobble something together, but I don't ever feel that I achieve anything worthwhile"
"Most people in my position just c___ a___ and dream of the summer holidays. [do only the things that you have to do without trying to go faster or be more successful]","Most people in my position just coast along and dream of the summer holidays."
"It's not a bad job, and sometimes I'm allowed to g___ o___ early if I've stayed late the day before [leave the place where you work, usually at the end of the day]","It's not a bad job, and sometimes I'm allowed to get off early if I've stayed late the day before"
"At the end of six months, the professor c___ o___ the best students and moved them up to the next class. [separated the cleverest or most skillful people from a group and treated them differently]", "At the end of six months, the professor creamed off the best students and moved them up to the next class."
"He was m___ d___ for careless mistakes in a number of his essays and by the end of the year he had f___ b___ the rest of his year [given a lower mark, failed to remain level with a group of people that was moving forwards]", "He was marked down for careless mistakes in a number of his essays and by the end of the year he had fallen behind the rest of his year"
"She p___ u___ her favourite novel and b___ h___ i___ it [started to read something quickly and became completely absorbed in it]", "She picked up her favourite novel and buried herself in it"
"I'm completely s___ u___ with work right now. I don't even know where to start! [having so much work that you feel overwhelmed]", "I'm completely snowed under with work right now. I don't even know where to start!"
"Hanes has an interesting theory about the relationship between culture and language which d___ o___ the results of Kaminsky's research. [uses information from]", "Hanes has an interesting theory about the relationship between culture and language which draws on the results of Kaminsky's research."
"Traynor s___ o___ to test the theory using a range of new technologies which were not previously available. [intended to]", "Traynor set out to test the theory using a range of new technologies which were not previously available."
"Because the results are based on a very small sample, we have to a___ f___ a significant margin of error. [take into consideration]", "Because the results are based on a very small sample, we have to allow for a significant margin of error."
"If you are not presenting, you should still try to r___ u___ on the subject before the seminar in order to g___ t___ m___ o___ it. [do background reading on, take benefit from]", "If you are not presenting, you should still try to read up on the subject before the seminar in order to get the most out of it."
"The people have many difficulties to c___ w___: poor soil, inadequate roads and lack of investment. [have to deal with a difficult or unpleasant situation]", "The people have many difficulties to contend with: poor soil, inadequate roads and lack of investment."
